S. No,Category,State/UT,Region,2016,2017,2018,Percentage Share of State/UT (2018),Mid-Year Projected Population (in Lakhs) (2018)+,Rate of Total Cyber Crimes (2018)++,2017_vs_2016,2018_vs_2017,%_increase_2017_vs_2016,%_increase_2018_vs_2017
1,State,Andhra Pradesh,South,616,931,1207,4.4,520.3,2.3,315,276,51.13636364,29.64554243
2,State,Arunachal Pradesh,East,4,1,7,0,14.9,0.5,-3,6,-75,600
3,State,Assam,East,696,1120,2022,7.4,340.4,5.9,424,902,60.91954023,80.53571429
4,State,Bihar,North,309,433,374,1.4,1183.3,0.3,124,-59,40.12944984,-13.62586605
5,State,Chhattisgarh,North,90,171,139,0.5,284.7,0.5,81,-32,90,-18.71345029
6,State,Goa,South,31,13,29,0.1,15.3,1.9,-18,16,-58.06451613,123.0769231
7,State,Gujarat,West,362,458,702,2.6,673.2,1,96,244,26.51933702,53.27510917
8,State,Haryana,North,401,504,418,1.5,284,1.5,103,-86,25.68578554,-17.06349206
9,State,Himachal Pradesh,North,31,56,69,0.3,72.7,0.9,25,13,80.64516129,23.21428571
10,State,Jammu & Kashmir,North,28,63,73,0.3,134.3,0.5,35,10,125,15.87301587
11,State,Jharkhand,North,259,720,930,3.4,370.5,2.5,461,210,177.992278,29.16666667
12,State,Karnataka,South,1101,3174,5839,21.4,654.5,8.9,2073,2665,188.2833787,83.96345306
13,State,Kerala,South,283,320,340,1.2,350,1,37,20,13.07420495,6.25
14,State,Madhya Pradesh,North,258,490,740,2.7,814.7,0.9,232,250,89.92248062,51.02040816
15,State,Maharashtra,West,2380,3604,3511,12.9,1213.9,2.9,1224,-93,51.42857143,-2.580466149
16,State,Manipur,East,11,74,29,0.1,30.8,0.9,63,-45,572.7272727,-60.81081081
17,State,Meghalaya,East,39,39,74,0.3,32,2.3,0,35,0,89.74358974
18,State,Mizoram,East,1,10,6,0,11.8,0.5,9,-4,900,-40
19,State,Nagaland,East,2,0,2,0,21.3,0.1,-2,2,-100,200
20,State,Odisha,East,317,824,843,3.1,435.5,1.9,507,19,159.9369085,2.305825243
21,State,Punjab,North,102,176,239,0.9,297,0.8,74,63,72.54901961,35.79545455
22,State,Rajasthan,West,941,1304,1104,4.1,765.9,1.4,363,-200,38.575983,-15.33742331
23,State,Sikkim,North,1,1,1,0,6.6,0.2,0,0,0,0
24,State,Tamil Nadu,South,144,228,295,1.1,754.6,0.4,84,67,58.33333333,29.38596491
25,State,Telangana,South,593,1209,1205,4.4,370.3,3.3,616,-4,103.8785835,-0.330851944
26,State,Tripura,East,8,7,20,0.1,39.6,0.5,-1,13,-12.5,185.7142857
27,State,Uttar Pradesh,North,2639,4971,6280,23,2230,2.8,2332,1309,88.36680561,26.33272983
28,State,Uttarakhand,North,62,124,171,0.6,110.6,1.5,62,47,100,37.90322581
29,State,West Bengal,East,478,568,335,1.2,965,0.3,90,-233,18.82845188,-41.02112676
30,Union Territory,A & N Islands,South,3,3,7,0,4,1.8,0,4,0,133.3333333
31,Union Territory,Chandigarh,North,26,32,30,0.1,11.7,2.6,6,-2,23.07692308,-6.25
32,Union Territory,D&N Haveli,West,1,1,0,0,5.3,0,0,-1,0,-100
33,Union Territory,Daman & Diu,West,0,0,0,0,4,0,0,0,0,0
34,Union Territory,Delhi UT,North,98,162,189,0.7,195.6,1,64,27,65.30612245,16.66666667
35,Union Territory,Lakshadweep,South,0,0,4,0,0.7,6,0,4,,400
36,Union Territory,Puducherry,South,2,5,14,0.1,14.8,0.9,3,9,150,180
